sentence,label
I think the TV needs some percussive maintenance .,1
"He was hocked up on dope, smack, pixie sticks.",1
Wut's your name?,1
"Person A: He just called and said he's not coming. Person B: Well, screw him!",1
Bridezilla wants some champagne in the next fifteen minutes.  The nearest store is twenty minutes away.,1
That's shibby .,1
Their breeding habitat is freshwater marshes across from southeast Europe to central Asia.,0
He voyaged on a ship called Beagle.,0
I've got some. True do !,1
Dad blew a gasket when I got suspended from school.,1
Lets do this joint !,1
"Damn, you be living all Ghetto Fabulous .",1
The town was named for William Phillips an early settler of the area.,0
And we can really work together to move the needle to get stuff done.,0
A track surrounded the pitch and there were no stands behind either goal.,0
Isn’t that grand.,0
Let's go chill at your place.,1
The soup is considered a defining ingredient by some commentators.,0
In the new design the twinheadlight had been angled back slightly.,0
That outfit is Pickles and Milk .,1
It's butt cold outside.,1
Nigger tits !  We missed the game.,1
"Damn , I've gotta drop a log !",1
Touch my stuff again and I'm going to have to regulate .,1
He's been posting UFO conspiracy theory spam to Usenet for years.,1
He delivered some weapons-grade insults.,1
Jack Nicklaus was hired to redesign the course and to appear in the tournament.,0
They dont know of him but he does know of them.,0
"Jeff told everyone about the surprise, TMG !",1
The stranger placed his sword in its scabbard and the boy relaxed.,0
That car was hella cool!,1
It looked like a small rightangled triangle.,0
I'm going to stang tonight.,1
"Speaker: Kylan, go get my paper from the desk. (The paper is right in front of Kylan.) Kylan: Where man? Speaker: Right there you duck !",1
"Damn, that hottie is credit .",1
It does was her audacious answer.,0
Please fine me Ties That Bind.,0
Person A: She's be gorgeous if it wasn't for that tattoo. Person B: WGAF what you think?,1
Humpty Dumpty asked Lil Bo Peep if she wanted to scrump .,1
Person A: You goin' to that party tomorrow? Person B: Fo ' sho !,1
It was well dark .,1
"Alan got into a right old strop last night, just because I spilled my beer on his T-shirt!",1
"She decided not to have children, she's a full career girl .",1
As The Bullet Armstrong feuded with the Stud Stable in Continental Championship Wrestling.,0
"Yo son , it's type brick outside!",1
A young boy in red is sleeping on a mattress with spiderman sheets.,0
Kaukauna is located at the intersections of several major roads.,0
Did you see the funny papers today?,1
"Man, I really schooled your ass in paintball yesterday!",1
I'm gonna cop a mope .,1
Haruno Stadium the prefectures largest athletics and football stadium is located here.,0
It is located in Shah Faisal town of Karachi East district.,0
Give The Lost Princess 3 stars.,0
That guy is acting like a goob wad .,1
"Oh dwam , those nugs look good.",1
You lie like a rug .,1
Its citizens have the highest average household income in Oklahoma.,0
As soon as Kaliyan saw her he ran and kissed her.,0
"Dude , you're such a fucktard !",1
Why do I always have to ride with jork cab drivers?,1
He deleted all of his accounts after he got doxxed .,1
"If you come at me like a spider monkey, I'll have to go the knuckle .",1
The park is operated by the Linn County Parks Department.,0
Send the stuff in a thick paper bag.,0
The girls were twurkin' out there on the dance floor.,1
I want to spend Christmas in California with my family.,0
Up the apples and pears .,1
Refugees are normal people who have been displaced due to natural disaster or conflicts.,0
To produce it they bombarded nitrogen gas with deuterons.,0
Can you help me find the We No Who U R game.,0
Pokayoke a Japanese term was coined by Shigeo Shingo a quality expert.,0
Her dirty balloon knot was visible in the nude photo.,1
The model predicts that by twentythirty the chances could more than double.,0
It was also the name of a hill in Germania described by classical sources.,0
The last one almost destroyed us.,0
A woman in a white jacket and cap is helping a young girl with arts and crafts.,0
"Of course I don't want to see your sausage , creep!",1
Why do I always get the bitch seat ?,1
According to local legend the New Jersey Devil has been spotted by Balls Ferry.,0
I can't believe we just dined and dashed .,1
Recitations of holy texts are part of the cultural presentations of some religions.,0
Now the region only supports one main economy livestock rearing.,0
She continues to live in Mile End in a converted pub.,0
The kora is a unique harplute with a notched wooden bridge.,0
"I didn't feel like doing it the Right Way, so I just fudged it.  We can fix it in version 2.",1
"At the light, bust a left.",1
His first job was with the Deseret News where he became an advertising executive.,0
Uwajimaya sells mainly Asian foodwith an emphasis on Japanesethough it also stocks Western staples.,0
You are so bait .,1
I'm gonna go Springer on your ass!,1
Are you Riz Lanoria ? You are one disgusting shit.,1
A girl sits on the beach under a bright pink sunshade.,0
"We're going to a party tonight, they have tons of jungle juice .",1
At its least great it is merely brilliant.,0
Three people tow of them women are on a beach wearing casual summer clothing.,0
It set me back 15 clams .,1
Gardnertown is the geographic center of the Town of Newburgh.,0
I like my guys to have dad bods .  I don't mind a few extra pounds.,1
Report fake websites to antiphishing companies to make a safer internet.,0
Man my loser brother is so Jaded .,1
"Oh, frell !",1
The meaning might therefore be difficult to trace.,0
Mark is messy .,1
How very .,1
A large bird spreading his wings in flight over a body of water.,0
Dickson characterized the law as regulating entertainment as a means to boost alcohol sales.,0
The French officer manages to escape the attack but is the only survivor.,0
You Know my steez .,1
Thats the point at which most people give up.,0
Modern iodinated contrast agents  especially nonionic compounds  are generally well tolerated.,0
"Damn playa, your ride is tricked out !",1
You are a bell-end !,1
Please show your hu hu to me.,1
Singin Billy was the nickname of shape note composer and publisher William Walker.,0
"Okay, the beer store closes in 5 minutes, we better heat on 'er .",1
A man in a Hawaiian shirt is playing an orange electric guitar on a stage.,0
He's a little weird.  He has the hots for his son's juggy kindergarten teacher.,1
"Are you still in that trade? I'm not, it went caput .",1
I think the cashier shorted me.,1
"Yo , come here.",1
There is yark on this seat!,1
In retaliation they decide to secretly sabotage everyones dreams and inventions.,0
She was feeling so cake on her roadtrip.,1
Van Beuren to open his own studio with distribution covered by Educational Pictures.,0
The same year it was granted town privileges.,0
Laertes is not the only character Polonius spies upon.,0
It controls body temperature reproductive functions eating sleeping and any display of emotions.,0
These shrimp is booming over here on the south side.,1
He is such a freak !,1
She went from hero to zero in a heartbeat.,0
Claxton is governed by a mayor and city council.,0
Although Ben Adamowicz had learned to fly blind both brothers were purely amateur aviators.,0
His works great and small number over a hundred.,0
That deal sounds rather dodgy .,1
A later reissue by Rykodisc compiled both versions of the album onto one disc.,0
A seated man wearing a black jacket and blue jeans sculpts a bird out of a carrot.,0
"She's actually pretty nice, but she does act like a beyotch sometimes.",1
Donna Reed and Harriet Nelson were incredibly white bread women.,1
"I didn't like the look on his dial , so I popped a cap in his ass .",1
Group of people pick up something that is on fire.,0
A bird makes his nest little by little.,0
Karen is stupid today!,1
He gave me a great rusty trombone yesterday.,1
"Customer: Do you take plastic ? Cashier: Sorry, only cash .",1
"Johnny!  Let's you and me leave Sally and Terri at home, and get us some strange .",1
Can anyone throw me some scrill for gas?,1
There's going to be a beat down if he doesn't stop that.,1
"Ware z , hacker z , password z , keygen z , serial z , cracker z , etc.",1
The longer you live the more you see.,0
He could play me anything and I would love it.,0
"She is so geeked , look at her eyes.",1
Several of his subsequent books were bestsellers.,0
Yo that fetty had me seein 3D last night my boy!,1
"Jim said Cheryl was a thief, but I think he was just trying to feed me some sour fruit .",1
And I added of my plenty about the same amount.,0
Items produced under the Sams Choice label primarily are grocery items.,0
My anxiety level has been out the roof lately.,1
That'll cost you six bills .,1
The main industrial product is polyurethane produced by the kibbutz factory Polyrit.,0
He's my brother from another mother .,1
I can't believe that hodger ate all the cookies and drank all of the milk!,1
My friend with benefits also helps pays my rent.,1
Sorry it took me so long to get here. I had to park my car in the ass-end of space .,1
I've had a rough 48 .,1
It's been a hot minute since we've seen each other.,1
The perp is in custody.,1
Add Amir Khan to my playlist Acoustic Blues.,0
Man and woman cyclists ride pass signs on rural road.,0
However a hereditary title is not ipso facto a mark of nobility in France.,0
They settled in Switzerland near Geneva.,0
I was wiggidy -wasted off that beer!,1
several young asian people carrying black and white flags.,0
DAE always sit down to pee ?,1
add an entry for mon beau sapin in lelas música libre playlist.,0
There is insufficient safety data to recommend indapamide use in pregnancy or breastfeeding.,0
Candelabras run as a website lasted the better part of a decade.,0
I am blinging .,1
"Mate, Steve makes a tough cup of tea!",1
He made both friends and enemies in high places.,0
"How are you, love ?",1
Speaker: I bet it hurt when you got shot in the chest. Response: No shit .,1
That's hecka Gucci .,1
I kissed her off .,1
Charm quarks are found in hadrons which are subatomic particles made of quarks.,0
Then she took both of his hands in hers and began quietly to pray.,0
We may have to punt fixing the baby's crib until tomorrow due to circumstances beyond our control.,1
"Watch it, bucky !",1
What would be their one thought.,0
The poles could also act as a brake when needed.,0
"""Can I talk to you?"" meaning ""Are you interested in me?""",1
A man wearing a suit hat and nametag is standing next to an open door.,0
Man with one leg throwing the discus.,0
That shit is phatness yo .,1
Tough luck on both of them.,0
"Thanks for stopping by, guys.  Let me see if I can scare us up a couple drinks.",1
Surrounding the ship are several permanent exhibitions cinemas a shop and a restaurant.,0
That snurp was painful!,1
This situation is fubared .,1
No take-backs !,1
The track has been reconfigured three times in its history.,0
"Put your money in the slot, press the button for your selection, and Bob's your uncle .",1
"My ruca has stayed by my side through the hard times ese, for life.",1
You know y'all hit skins - don't front .,1
I'm out .,1
Interrogator: We just caught the suspect in a lie.  We have him by the short hairs now!,1
"Hey guys, let's increase the peace .",1
You bringing that jank to the party tonight?,1
My girlfriend lets me titty fuck her!,1
"Sorry, gg . ttyl .",1
These are designated to individual ministries.,0
I gottta support da9 .,1
She removed the girls hat and cloak and tossed them aside.,0
Ken is the brother of Terry Reardon.,0
"Craig, you're the wingman, you get the salad dodger .",1
He's kind of a loner .,1
Shana and Janae were mangled when I seen them last night at the party.,1
play a good song by Baaba Maal on Lastfm.,0
Some of them had binoculars.,0
The club hope to build new changing facilities.,0
Me and this chick were shaboinkin' last night.,1
She thinks she's all that .,1
"What up, negro ?",1
The store was jammed before the sale could start.,0
"Hey, dudettes .  Want to smoke a bowl ?",1
Older man carrying a stick looking through binoculars.,0
The author is a blogger and social media phenomenon.,0
That homework is shwag .,1
We conversate every night on the telephone.,1
See the following examples.,0
A skier makes the only path on an empty mountain.,0
People gather at the local flea market to engage in some commerce.,0
She laughed at the teasing and gave him a quick smuck of warning.,1
I'm enjoying Malabar Masala in my house right now: my sister's boyfriend is a  big black Dravidian soldier from the Madras Regiment!,1
What ends you stay at?,1
Do your duty but be careful not to overstep it.,0
"Get out the bong , it's 4/20 !",1
We just came from some shitty bar in East Jabip .,1
"Whoa , check out Thunder Thighs .",1
Look at Chris over there bobbin' for cock !  He should chill on those Oxys .,1
There were also two tourist camps and several small sanatoriums.,0
I want a piece of him.,1
I saw a Ford Focus for sale.,0
"You fuckin' gommer , you didn't pass da test!",1
Did you smush ?,1
"brb , phone call.",1
Why dont you have your friends join us.,0
They teach you atheism and these false prophets.,0
He must've launched that loogie 20 feet!,1
That girl is such a hoebag .,1
Look at the beautiful flutterby .,1
The village serves as a bedroom community for nearby Dartmouth College.,0
"When that hot girl walked by, I almost creamed .",1
All these thots in Ottawa be trippin' !,1
Man walking down the sidewalk in front of a pizza shop.,0
I got that fire .,1
That Mexican food makes me blow mud .,1
A man stands on a sailboat in the water.,0
His followers numbered in the thousands.,0
She received chemotherapy treatment as a precautionary measure following surgery.,0
I'm chilin ' with him.,1
I've got a fire belly from having children.,1
That guy is such a barnacle .,1
The bank follows the internet banking code NetBanking and security is entrusted by Verisign.,0
You are such a pansy .,1
Bradley was the birthplace and lifelong home of Dennis Turner Baron Bilston.,0
He has man boobs .,1
He was born at Bristol.,0
"Yo, this is fucking fried . This homeless guy just shat on the chair there.",1
Our religion dictates our actions.,0
You made a right bollocks of that.,1
I need to motor to the doctor.,1
The natural range is nearly identical to that of P lessonae.,0
That jughead will never pass the exam.,1
Hellza !,1
Two girls share a seethrough umbrella.,0
Two men wearing helmets on a motorcycle.,0
"Dude , that guy is swoll .",1
What is your opinion.,0
"What's up to all my juggalos on the north, south, east and west!",1
He was talking a bunch of jive ass shit last night.,1
The solar eclipse cast us all in shadow.,0
Irish playwright Brian Friel has also adapted the novel under the same title.,0
Do you have more soda?  This 2-liter is flat .,1
I'm gasping for a fag .,1
"That movie was aight , but I liked the other one better.",1
Army Men Mobile Ops is currently the latest game in the series.,0
"Oh please, GOY .",1
I have soccer ttyl .,1
Where did Joe go?  Did he just rage quit ?  What a pussy .,1
He got owned .,1
"Man, his shit is ghetto !",1
Donaueschingen station is a regional rail hub four rail lines join in the town.,0
Woman with headscarf and girl in red costume dress walk through urban area.,0
Never underestimate the size of my cojones .,1
He was succeeded in the earldom by his only son George.,0
Jenny is such a fish !,1
"Man, she is being such a queef today!",1
That's some dank stuff.,1
Look at all this gear under my nails from trimming all that weed with no gloves.,1
I fell asleep in the truck.,0
These programs are certified by a university diploma outside of the Bologna Process.,0
BOGO Halloween candy through October 15.,1
Wipe the mould off her shoes and off yours too — carefully.,0
A man lounging with his feet up on the desk while looking at two separate computer screens.,0
Then I am here as soon as you you see.,0
The phone call got interrupted due to unknown reasons.,0
There's a good facial scene in this movie.,1
Woman gets her hand kissed by living statue street artist.,0
She replaced Frederick D Gregory as Deputy Administrator.,0
Whaddya think?,1
Soon his establishment was one of the most renowned restaurants in the Northwest.,0
They were welcomed by Israeli authorities and were granted citizenship.,0
In the second case the trader sells the option and then hedges the position.,0
He soon found a style more suited to his own inclinations.,0
I need to scam some loot .,1
During the period.,0
Shut the h up!,1
"Facing down a future of endlessly trudging through databases, Drew exists in a state of permanent pissed-offedness .",1
"I think I saw that three screens back, but I can't remember how to get there.  I really wish this program had bread crumbs .",1
He is such a gant .,1
The fire was determined to be arson but no one was ever arrested.,0
"He's from way the hell up in Fuckstick , Arkansas somewhere.",1
That was some good sexy time .,1
Is everything kosher ?,1
Its new hub is Tripoli International.,0
She later earned a Bachelor of Science degree from the University of Massachusetts Amherst.,0
I love athletic activities.,0
"Damn, I killed that test.",1
It was almost as if her life had been deleted.,0
The country was on the brink of revolution.,0
Have you set up a placeholder for the photograph.,0
"My weekend was wretched , I worked my ass off all weekend.",1
"Oh, that cheap Mexican food gave me a horrible case of mud butt .",1
A group of speed ice skaters race.,0
I had no idea there was anything so attractive here.,0
"You stupid fuck-ass , you broke my shit .",1
It is a layered structure with a number of layers that varies by species.,0
He will have his bond my dear friend.,0
I don't know 'bout you but I'ma do me .,1
"Dude , where's my rig ?  I scored a few packs!",1
Your mum is bang tidy !,1
The address is dub dub dub dot online slang dictionary dot com.,1
The woman in glasses is wearing a black headdress.,0
English Members of Parliament need to open a dialogue with their Scottish counterparts.,0
"You need to clean that toilet, it's really manky .",1
In Estonia Kass owns some private companies including two real estate companies.,0
That land is now used as the Southwest Boston Community Gardens.,0
"Hey, there goes a tough looking chick.",1
Last night we got crunk as hell!,1
Tell him to rattle his dags .,1
That boy's a savage .,1
Are you going the scenic route or astronaut diaper miles ?,1
The Scottish parliament contains politicians.,0
In some countries it is not legal to drink alcohol until twentyone.,0
Man in a white shirt asleep at a desk.,0
That movie was great!  I couldn't stop cracking up .,1
It is upstairs.,0
A girl in a pink checkered coat walks down a hallway followed by another younger girl.,0
What are you doing in there? Choking the chicken ?,1
Shaba Ranks is famous for his style of reggae called ragamuffin reggae.,1
I dasn't do what you say to do.,1
Watch what you say - we never know who could be ear hustling .,1
John: Whatever. lol Suzy: Really. lolz,1
Agents and advanced Dave Cockrum money to illustrate the series through Liefelds Extreme Studios.,0
You got any smoke ?,1
Please do not think that I already know it all.,0
His mother named him after the Japanese word for love.,0
crying baby in a blue shirt and white pants.,0
"I always look out for you, cutty .",1
Thank you Nicholas for inviting me.,0
He extended his land holdings by purchasing some of the forfeited Loyalist estates.,0
Suffering from low ratings and a lack of major market clearances You Dont Say.,0
"The contractor famously completed the concrete driveway concrete driveway in just one day, impressing the entire neighborhood with both speed and quality.",1
He gets mad at the drop of a hat .,1
"I'm getting audited by the IRS.  I've filed everything accurately - just luck of the draw , I guess.",1
Six per cent of the ridings residents are francophone.,0
The citys current mayor is Tom Thompson.,0
I wish he would eat shit and die .,1
Let's go down to the store and Tap a Harry .,1
The women all have a screw loose . It's unbelieveable that they want to vote!,1
And then he perceived it very slowly.,0
The content of the series was softcore adult films mostly European.,0
Woman with pink shirt point to her right holding a small baby.,0
A military man says hello to a group of children waving American flags.,0
"I'm so bright my momma calls me ""sun""!  (Note: this is a play on the homonyms ""son"" and ""sun."")",1
"Yo dawg , I swear I'll hit you back on the first of the month Response: Say nephs .",1
His alibi stinks .,1
She returns to Thornfield to see that it has been destroyed.,0
“I can’t guv’nor” I said in a real beggar’s whine.,0
He drinks 'til he pukes; I just want to catch a buzz .,1
I got dome piece from her.,1
They are likely to have lost over half their initial mass at this point.,0
Come on man don't be a loser rubberneck who has to slow down at every site of a car crash.,1
I got cooked myself a fatty hamburger yesterday.,1
Klassen was born in Winnipeg Manitoba and currently resides there.,0
There's a certain TLA bugging my phones.  I can't tell you which one.,1
I'm only fooling .,1
Two construction workers on a bridge.,0
"Poor Al, you look tense.  Have a wank .",1
A man in a light blue cap smiles.,0
You are a gem .,1
I know its aching.,0
They bump fuzzies at least twice a day.,1
Two girls playing on the beach.,0
Would your son like a lolly ?,1
A manual indexing head includes a hand crank.,0
"After the car wreck, he was a goner .",1
"Susan, being retro, sports a classic bush .",1
"Watch it, fucko .",1
Waz up?,1
To understand how it really works we need to look under the hood .,1
You found a hundred dollar bill on the ground? Yeah right you did!,1
Woman in black and white shirt dancing with man in all black in a studio.,0
Donald Trump is an example of a 1 on the swag-o-meter .,1
He tried to shiest my cherry.,1
Were really happy with that Mr Murphy said.,0
They beat the shit out of that guy.,1
The trail intersects the Broadmeadows Valley Trail in the north.,0
"That guy is so fat, his belt is pushing his FUPA down.",1
Princeton High School is accredited by the North Central Association.,0
A woman rides a bike on a dirt path.,0
So far I had been miraculously lucky.,0
I had to go home to get some face time with the wife.,1
Three men are pictured two standing and one sitting in front of silver container.,0
I decided not to go down on her odoriferous stench trench .,1
It is considered that the oldest settlements were established in the area.,0
A man in a white shirt Is sitting and listening to music.,0
Two African men are digging dirt out of a cauldron and into a larger pile.,0
San Luis play their home games at Alfonso Lastras Ramirez Stadium.,0
That FOP is driving too slow.,1
"The chronic alcoholic had a major addiction problem and thought irrisposibly that he could never get enough, so after he left Belltown Billiards he headed over to the 5 Point to continue his drinking where he had left off earlier that same evening to have what he called a drinkie winkie .",1
Six men ride on a moving sidewalk.,0
However due to a high incidence of complications widespread use was never achieved.,0
They stank of tobacco.,1
That band is really hot right now.,1
Give the patient in bed 3 a prescription for Obecalp and send him out the door.,1
"If you want to talk about penises, please say dinker instead of the real word.",1
Person A: I'm going to the store. Person B: Okie dokie .,1
So tired. I think I'll conk out early.,1
Have you gotten a ring from your lawyer yet?,1
That chicken was gangsta !,1
You should see the size of his willie .,1
Latitude is a number preceded by a sign character.,0
The war continued and at times the wind carried the sweet sickly smell of blood.,0
A baseball player catching a ball as it comes to him.,0
His hair is mad nappy .,1
I'm hanging out with my girlfriends this weekend.,1
She's got bad ass.,1
"Man, if there's a head-giving Hall of Fame, she's gotta be in there with the title of Sloppyheimer . It was like an explosion!",1
He was looking at my candy .,1
My boyfriend has a baby clit .,1
It occurs as a secondary alteration product in lead ore deposits.,0
This fear may also be referred to as belonephobia or enetophobia.,0
"Well, I use-ta could dance real good.",1
This dam has been created with mud and rocks.,0
Now and in the limit.,0
My grandparents are farmers.,0
As with water rights mining rights could be forfeited by nonuse.,0
And Buffett noted Graham excelled most at the last.,0
Is it okay if I share some OC ?,1
Mike Battaglia is the current announcer at Turfway Park.,0
The Jones account is now on the front burner .,1
We're couching .,1
